Dic,Tablesize,b,No. of words,time taken,collision,total probe,max probe,rehash count
english_small.txt,250727,1,22115,130,21740,229725042,21705,0
english_small.txt,402221,1,22182,130,21807,231146262,21705,0
english_small.txt,1000081,1,22008,130,21633,227454601,21547,0
english_small.txt,250727,27183,84097,0.375895548,14265,22543,21,0
english_small.txt,402221,27183,84097,0.362061585,9000,11736,13,0
english_small.txt,1000081,27183,84097,0.357719264,3489,3910,5,0
english_small.txt,250727,250726,21150,130,21037,220751087,21078,0
english_small.txt,402221,250726,84097,0.363503676,9010,11798,10,0
english_small.txt,1000081,250726,84097,0.361780247,3606,4047,8,0
english_large.txt,250727,1,21827,130,21477,224151521,21633,0
english_large.txt,402221,1,21879,130,21529,225255593,21695,0
english_large.txt,1000081,1,21793,130,21443,223436007,21633,0
english_large.txt,250727,27183,194433,1.103693338,76624,420489,278,0
english_large.txt,402221,27183,194433,0.900757589,47798,100107,43,0
english_large.txt,1000081,27183,194433,0.894007968,19038,24410,15,0
english_large.txt,250727,250726,20444,130,20347,206582180,20379,0
english_large.txt,402221,250726,194433,1.001134633,47903,101113,51,0
english_large.txt,1000081,250726,194433,0.884844473,19047,24487,13,0
french.txt,250727,1,22163,130,21594,223555283,22065,0
french.txt,402221,1,22354,130,21785,227596338,22279,0
french.txt,1000081,1,22457,130,21888,229843789,22358,0
french.txt,250727,27183,202358,1.327537208,85022,565691,299,0
french.txt,402221,27183,202358,1.095873182,53377,124796,57,0
french.txt,1000081,27183,202358,1.084670297,22045,30701,21,0
french.txt,250727,250726,21775,130,21307,211867818,20948,0
french.txt,402221,250726,202358,1.045144323,53157,122372,49,0
french.txt,1000081,250726,202358,1.124265345,21708,29927,12,0
