Dic,Tablesize,b,No. of words,time taken,collision,total probe,max probe,rehash count
english_small.txt,250727,1,84097,6.874695969,83695,8224187,398,0
english_small.txt,402221,1,84097,7.641193133,83692,8071335,376,0
english_small.txt,1000081,1,84097,7.146860193,83687,7745791,346,0
english_small.txt,250727,27183,84097,0.389151538,14288,20532,9,0
english_small.txt,402221,27183,84097,0.430208211,8983,11221,7,0
english_small.txt,1000081,27183,84097,0.401255084,3493,3879,4,0
english_small.txt,250727,250726,84097,26.72410983,83969,27293806,1052,0
english_small.txt,402221,250726,84097,0.372266839,8993,11206,6,0
english_small.txt,1000081,250726,84097,0.365565343,3604,3993,4,0
english_large.txt,250727,1,194433,46.7660477,194056,48392900,1366,0
english_large.txt,402221,1,194433,38.78505634,194055,42424645,931,0
english_large.txt,1000081,1,194433,34.03869418,194036,36911604,748,0
english_large.txt,250727,27183,194433,1.079723413,76727,210350,42,0
english_large.txt,402221,27183,194433,0.949685425,47957,81791,15,0
english_large.txt,1000081,27183,194433,0.867584962,19062,23590,7,0
english_large.txt,250727,250726,164801,130,164671,119938799,2547,0
english_large.txt,402221,250726,194433,1.034276018,47956,82296,17,0
english_large.txt,1000081,250726,194433,0.966244608,19075,23701,7,0
french.txt,250727,1,202358,39.48416111,201747,34469798,882,0
french.txt,402221,1,202358,29.6323213,201744,30528126,639,0
french.txt,1000081,1,202358,25.93621768,201721,26848918,518,0
french.txt,250727,27183,202358,1.174648559,85196,251124,49,0
french.txt,402221,27183,202358,1.060394072,53471,95339,14,0
french.txt,1000081,27183,202358,0.983016198,22052,28611,7,0
french.txt,250727,250726,202358,108.2309203,201582,86439782,2263,0
french.txt,402221,250726,202358,1.083914886,53460,95213,18,0
french.txt,1000081,250726,202358,1.025100514,21706,27988,7,0
