2,6.46E-06,5.76E-06
4,4.24E-06,2.94E-06
8,3.58E-06,1.36E-06
16,6.34E-06,1.24E-06
32,1.12E-05,1.71E-06
64,2.62E-05,2.51E-06
128,4.30E-05,3.67E-06
256,7.46E-05,6.40E-06
512,0.000162333,1.16E-05
1024,0.000328959,2.10E-05
2048,0.000679604,3.20E-05
4096,0.001131981,6.34E-05
